date,close_t,close_t-1,close_t-2,close_t-3,anger_t-1,anger_t-2,anger_t-3,depression_t-1,depression_t-2,depression_t-3,anxiety_t-1,anxiety_t-2,anxiety_t-3,happy_t-1,happy_t-2,happy_t-3,calm_t-1,calm_t-2,calm_t-3,polarity_t-1,polarity_t-2,polarity_t-3
4/13/2009,8057.81,8083.38,7837.11,7789.56,0.017545455,0.017272727,0.017,0.052454545,0.051727273,0.051,0.230909091,0.232454545,0.234,0.018090909,0.017545455,0.017,0.070090909,0.070545455,0.071,0.083363636,0.083181818,0.083
4/14/2009,7920.18,8057.81,8083.38,7837.11,0.018636364,0.017545455,0.017272727,0.055363636,0.052454545,0.051727273,0.224727273,0.230909091,0.232454545,0.020272727,0.018090909,0.017545455,0.068272727,0.070090909,0.070545455,0.084090909,0.083363636,0.083181818
4/15/2009,8029.62,7920.18,8057.81,8083.38,0.018909091,0.018636364,0.017545455,0.056090909,0.055363636,0.052454545,0.223181818,0.224727273,0.230909091,0.020818182,0.020272727,0.018090909,0.067818182,0.068272727,0.070090909,0.084272727,0.084090909,0.083363636
4/16/2009,8125.43,8029.62,7920.18,8057.81,0.019181818,0.018909091,0.018636364,0.056818182,0.056090909,0.055363636,0.221636364,0.223181818,0.224727273,0.021363636,0.020818182,0.020272727,0.067363636,0.067818182,0.068272727,0.084454545,0.084272727,0.084090909
4/17/2009,8131.33,8125.43,8029.62,7920.18,0.019454545,0.019181818,0.018909091,0.057545455,0.056818182,0.056090909,0.220090909,0.221636364,0.223181818,0.021909091,0.021363636,0.020818182,0.066909091,0.067363636,0.067818182,0.084636364,0.084454545,0.084272727
4/20/2009,7841.73,8131.33,8125.43,8029.62,0.019727273,0.019454545,0.019181818,0.058272727,0.057545455,0.056818182,0.218545455,0.220090909,0.221636364,0.022454545,0.021909091,0.021363636,0.066454545,0.066909091,0.067363636,0.084818182,0.084636364,0.084454545
4/21/2009,7969.56,7841.73,8131.33,8125.43,0.014,0.019727273,0.019454545,0.048,0.058272727,0.057545455,0.269,0.218545455,0.220090909,0.015,0.022454545,0.021909091,0.074,0.066454545,0.066909091,0.1,0.084818182,0.084636364
4/22/2009,7886.57,7969.56,7841.73,8131.33,0.021,0.014,0.019727273,0.041,0.048,0.058272727,0.239,0.269,0.218545455,0.015,0.015,0.022454545,0.069,0.074,0.066454545,0.086,0.1,0.084818182
4/23/2009,7957.06,7886.57,7969.56,7841.73,0.020636364,0.021,0.014,0.042272727,0.041,0.048,0.240454545,0.239,0.269,0.015363636,0.015,0.015,0.069545455,0.069,0.074,0.086727273,0.086,0.1
4/24/2009,8076.29,7957.06,7886.57,7969.56,0.020272727,0.020636364,0.021,0.043545455,0.042272727,0.041,0.241909091,0.240454545,0.239,0.015727273,0.015363636,0.015,0.070090909,0.069545455,0.069,0.087454545,0.086727273,0.086
