date,close_t,close_t-1,close_t-2,close_t-3,anger_t-1,anger_t-2,anger_t-3
4/13/2009,8057.81,8083.38,7837.11,7789.56,0.017545455,0.017272727,0.017
4/14/2009,7920.18,8057.81,8083.38,7837.11,0.018636364,0.017545455,0.017272727
4/15/2009,8029.62,7920.18,8057.81,8083.38,0.018909091,0.018636364,0.017545455
4/16/2009,8125.43,8029.62,7920.18,8057.81,0.019181818,0.018909091,0.018636364
4/17/2009,8131.33,8125.43,8029.62,7920.18,0.019454545,0.019181818,0.018909091
4/20/2009,7841.73,8131.33,8125.43,8029.62,0.019727273,0.019454545,0.019181818
4/21/2009,7969.56,7841.73,8131.33,8125.43,0.014,0.019727273,0.019454545
4/22/2009,7886.57,7969.56,7841.73,8131.33,0.021,0.014,0.019727273
4/23/2009,7957.06,7886.57,7969.56,7841.73,0.020636364,0.021,0.014
4/24/2009,8076.29,7957.06,7886.57,7969.56,0.020272727,0.020636364,0.021
4/27/2009,8025,8076.29,7957.06,7886.57,0.019909091,0.020272727,0.020636364
4/28/2009,8016.95,8025,8076.29,7957.06,0.018818182,0.019909091,0.020272727
4/29/2009,8185.73,8016.95,8025,8076.29,0.018454545,0.018818182,0.019909091
4/30/2009,8168.12,8185.73,8016.95,8025,0.018090909,0.018454545,0.018818182
5/1/2009,8212.41,8168.12,8185.73,8016.95,0.017727273,0.018090909,0.018454545
5/4/2009,8426.74,8212.41,8168.12,8185.73,0.017363636,0.017727273,0.018090909
5/5/2009,8410.65,8426.74,8212.41,8168.12,0.022,0.017363636,0.017727273
5/6/2009,8512.28,8410.65,8426.74,8212.41,0.021833333,0.022,0.017363636
5/7/2009,8409.85,8512.28,8410.65,8426.74,0.021666667,0.021833333,0.022
5/8/2009,8574.65,8409.85,8512.28,8410.65,0.0215,0.021666667,0.021833333
5/11/2009,8418.77,8574.65,8409.85,8512.28,0.021333333,0.0215,0.021666667
5/12/2009,8469.11,8418.77,8574.65,8409.85,0.014,0.021333333,0.0215
5/13/2009,8284.89,8469.11,8418.77,8574.65,0.021,0.014,0.021333333
5/14/2009,8331.32,8284.89,8469.11,8418.77,0.018,0.021,0.014
5/15/2009,8268.64,8331.32,8284.89,8469.11,0.015,0.018,0.021
5/18/2009,8504.08,8268.64,8331.32,8284.89,0.016333333,0.015,0.018
5/19/2009,8474.85,8504.08,8268.64,8331.32,0.02,0.016333333,0.015
5/20/2009,8422.04,8474.85,8504.08,8268.64,0.01925,0.02,0.016333333
5/21/2009,8292.13,8422.04,8474.85,8504.08,0.0185,0.01925,0.02
5/22/2009,8277.32,8292.13,8422.04,8474.85,0.01775,0.0185,0.01925
5/26/2009,8473.49,8277.32,8292.13,8422.04,0.017,0.01775,0.0185
5/27/2009,8300.02,8473.49,8277.32,8292.13,0.033,0.017,0.01775
5/28/2009,8403.8,8300.02,8473.49,8277.32,0.022,0.033,0.017
5/29/2009,8500.33,8403.8,8300.02,8473.49,0.0215,0.022,0.033
6/1/2009,8721.44,8500.33,8403.8,8300.02,0.021,0.0215,0.022
6/2/2009,8740.87,8721.44,8500.33,8403.8,0.022,0.021,0.0215
6/3/2009,8675.24,8740.87,8721.44,8500.33,0.017,0.022,0.021
6/4/2009,8750.24,8675.24,8740.87,8721.44,0.02,0.017,0.022
6/5/2009,8763.13,8750.24,8675.24,8740.87,0.015,0.02,0.017
6/8/2009,8764.49,8763.13,8750.24,8675.24,0.024,0.015,0.02
6/9/2009,8763.06,8764.49,8763.13,8750.24,0.019,0.024,0.015
6/10/2009,8739.02,8763.06,8764.49,8763.13,0.015833333,0.019,0.024
6/11/2009,8770.92,8739.02,8763.06,8764.49,0.012666667,0.015833333,0.019
6/12/2009,8799.26,8770.92,8739.02,8763.06,0.0095,0.012666667,0.015833333
6/15/2009,8612.13,8799.26,8770.92,8739.02,0.006333333,0.0095,0.012666667
6/16/2009,8504.67,8612.13,8799.26,8770.92,0.019,0.006333333,0.0095
6/17/2009,8497.18,8504.67,8612.13,8799.26,0.022,0.019,0.006333333
6/18/2009,8555.6,8497.18,8504.67,8612.13,0.029,0.022,0.019
6/19/2009,8539.73,8555.6,8497.18,8504.67,0.028,0.029,0.022
6/22/2009,8339.01,8539.73,8555.6,8497.18,0.032,0.028,0.029
6/23/2009,8322.91,8339.01,8539.73,8555.6,0.026,0.032,0.028
6/24/2009,8299.86,8322.91,8339.01,8539.73,0.024,0.026,0.032
6/25/2009,8472.4,8299.86,8322.91,8339.01,0.014,0.024,0.026
6/26/2009,8438.39,8472.4,8299.91,8322.91,0.027,0.014,0.024
