date,close_t,close_t-1,close_t-2,close_t-3,calm_t-1,calm_t-2,calm_t-3
4/13/2009,8057.81,8083.38,7837.11,7789.56,0.070090909,0.070545455,0.071
4/14/2009,7920.18,8057.81,8083.38,7837.11,0.068272727,0.070090909,0.070545455
4/15/2009,8029.62,7920.18,8057.81,8083.38,0.067818182,0.068272727,0.070090909
4/16/2009,8125.43,8029.62,7920.18,8057.81,0.067363636,0.067818182,0.068272727
4/17/2009,8131.33,8125.43,8029.62,7920.18,0.066909091,0.067363636,0.067818182
4/20/2009,7841.73,8131.33,8125.43,8029.62,0.066454545,0.066909091,0.067363636
4/21/2009,7969.56,7841.73,8131.33,8125.43,0.074,0.066454545,0.066909091
4/22/2009,7886.57,7969.56,7841.73,8131.33,0.069,0.074,0.066454545
4/23/2009,7957.06,7886.57,7969.56,7841.73,0.069545455,0.069,0.074
4/24/2009,8076.29,7957.06,7886.57,7969.56,0.070090909,0.069545455,0.069
4/27/2009,8025,8076.29,7957.06,7886.57,0.070636364,0.070090909,0.069545455
4/28/2009,8016.95,8025,8076.29,7957.06,0.072272727,0.070636364,0.070090909
4/29/2009,8185.73,8016.95,8025,8076.29,0.072818182,0.072272727,0.070636364
4/30/2009,8168.12,8185.73,8016.95,8025,0.073363636,0.072818182,0.072272727
5/1/2009,8212.41,8168.12,8185.73,8016.95,0.073909091,0.073363636,0.072818182
5/4/2009,8426.74,8212.41,8168.12,8185.73,0.074454545,0.073909091,0.073363636
5/5/2009,8410.65,8426.74,8212.41,8168.12,0.073,0.074454545,0.073909091
5/6/2009,8512.28,8410.65,8426.74,8212.41,0.071666667,0.073,0.074454545
5/7/2009,8409.85,8512.28,8410.65,8426.74,0.070333333,0.071666667,0.073
5/8/2009,8574.65,8409.85,8512.28,8410.65,0.069,0.070333333,0.071666667
5/11/2009,8418.77,8574.65,8409.85,8512.28,0.067666667,0.069,0.070333333
5/12/2009,8469.11,8418.77,8574.65,8409.85,0.059,0.067666667,0.069
5/13/2009,8284.89,8469.11,8418.77,8574.65,0.071,0.059,0.067666667
5/14/2009,8331.32,8284.89,8469.11,8418.77,0.0745,0.071,0.059
5/15/2009,8268.64,8331.32,8284.89,8469.11,0.078,0.0745,0.071
5/18/2009,8504.08,8268.64,8331.32,8284.89,0.077,0.078,0.0745
5/19/2009,8474.85,8504.08,8268.64,8331.32,0.079,0.077,0.078
5/20/2009,8422.04,8474.85,8504.08,8268.64,0.0795,0.079,0.077
5/21/2009,8292.13,8422.04,8474.85,8504.08,0.08,0.0795,0.079
5/22/2009,8277.32,8292.13,8422.04,8474.85,0.0805,0.08,0.0795
5/26/2009,8473.49,8277.32,8292.13,8422.04,0.081,0.0805,0.08
5/27/2009,8300.02,8473.49,8277.32,8292.13,0.08,0.081,0.0805
5/28/2009,8403.8,8300.02,8473.49,8277.32,0.06,0.08,0.081
5/29/2009,8500.33,8403.8,8300.02,8473.49,0.063,0.06,0.08
6/1/2009,8721.44,8500.33,8403.8,8300.02,0.066,0.063,0.06
6/2/2009,8740.87,8721.44,8500.33,8403.8,0.07,0.066,0.063
6/3/2009,8675.24,8740.87,8721.44,8500.33,0.074,0.07,0.066
6/4/2009,8750.24,8675.24,8740.87,8721.44,0.07,0.074,0.07
6/5/2009,8763.13,8750.24,8675.24,8740.87,0.067,0.07,0.074
6/8/2009,8764.49,8763.13,8750.24,8675.24,0.062,0.067,0.07
6/9/2009,8763.06,8764.49,8763.13,8750.24,0.063,0.062,0.067
6/10/2009,8739.02,8763.06,8764.49,8763.13,0.063666667,0.063,0.062
6/11/2009,8770.92,8739.02,8763.06,8764.49,0.064333333,0.063666667,0.063
6/12/2009,8799.26,8770.92,8739.02,8763.06,0.065,0.064333333,0.063666667
6/15/2009,8612.13,8799.26,8770.92,8739.02,0.065666667,0.065,0.064333333
6/16/2009,8504.67,8612.13,8799.26,8770.92,0.07,0.065666667,0.065
6/17/2009,8497.18,8504.67,8612.13,8799.26,0.067,0.07,0.065666667
6/18/2009,8555.6,8497.18,8504.67,8612.13,0.056,0.067,0.07
6/19/2009,8539.73,8555.6,8497.18,8504.67,0.059,0.056,0.067
6/22/2009,8339.01,8539.73,8555.6,8497.18,0.054,0.059,0.056
6/23/2009,8322.91,8339.01,8539.73,8555.6,0.051,0.054,0.059
6/24/2009,8299.86,8322.91,8339.01,8539.73,0.051,0.051,0.054
6/25/2009,8472.4,8299.86,8322.91,8339.01,0.061,0.051,0.051
6/26/2009,8438.39,8472.4,8299.91,8322.91,0.06,0.061,0.051
