date,close_t,close_t-1,close_t-2,close_t-3,depression_t-1,depression_t-2,depression_t-3
4/13/2009,8057.81,8083.38,7837.11,7789.56,0.052454545,0.051727273,0.051
4/14/2009,7920.18,8057.81,8083.38,7837.11,0.055363636,0.052454545,0.051727273
4/15/2009,8029.62,7920.18,8057.81,8083.38,0.056090909,0.055363636,0.052454545
4/16/2009,8125.43,8029.62,7920.18,8057.81,0.056818182,0.056090909,0.055363636
4/17/2009,8131.33,8125.43,8029.62,7920.18,0.057545455,0.056818182,0.056090909
4/20/2009,7841.73,8131.33,8125.43,8029.62,0.058272727,0.057545455,0.056818182
4/21/2009,7969.56,7841.73,8131.33,8125.43,0.048,0.058272727,0.057545455
4/22/2009,7886.57,7969.56,7841.73,8131.33,0.041,0.048,0.058272727
4/23/2009,7957.06,7886.57,7969.56,7841.73,0.042272727,0.041,0.048
4/24/2009,8076.29,7957.06,7886.57,7969.56,0.043545455,0.042272727,0.041
4/27/2009,8025,8076.29,7957.06,7886.57,0.044818182,0.043545455,0.042272727
4/28/2009,8016.95,8025,8076.29,7957.06,0.048636364,0.044818182,0.043545455
4/29/2009,8185.73,8016.95,8025,8076.29,0.049909091,0.048636364,0.044818182
4/30/2009,8168.12,8185.73,8016.95,8025,0.051181818,0.049909091,0.048636364
5/1/2009,8212.41,8168.12,8185.73,8016.95,0.052454545,0.051181818,0.049909091
5/4/2009,8426.74,8212.41,8168.12,8185.73,0.053727273,0.052454545,0.051181818
5/5/2009,8410.65,8426.74,8212.41,8168.12,0.056,0.053727273,0.052454545
5/6/2009,8512.28,8410.65,8426.74,8212.41,0.0575,0.056,0.053727273
5/7/2009,8409.85,8512.28,8410.65,8426.74,0.059,0.0575,0.056
5/8/2009,8574.65,8409.85,8512.28,8410.65,0.0605,0.059,0.0575
5/11/2009,8418.77,8574.65,8409.85,8512.28,0.062,0.0605,0.059
5/12/2009,8469.11,8418.77,8574.65,8409.85,0.069,0.062,0.0605
5/13/2009,8284.89,8469.11,8418.77,8574.65,0.064,0.069,0.062
5/14/2009,8331.32,8284.89,8469.11,8418.77,0.061,0.064,0.069
5/15/2009,8268.64,8331.32,8284.89,8469.11,0.058,0.061,0.064
5/18/2009,8504.08,8268.64,8331.32,8284.89,0.056333333,0.058,0.061
5/19/2009,8474.85,8504.08,8268.64,8331.32,0.049,0.056333333,0.058
5/20/2009,8422.04,8474.85,8504.08,8268.64,0.05,0.049,0.056333333
5/21/2009,8292.13,8422.04,8474.85,8504.08,0.051,0.05,0.049
5/22/2009,8277.32,8292.13,8422.04,8474.85,0.052,0.051,0.05
5/26/2009,8473.49,8277.32,8292.13,8422.04,0.053,0.052,0.051
5/27/2009,8300.02,8473.49,8277.32,8292.13,0.0655,0.053,0.052
5/28/2009,8403.8,8300.02,8473.49,8277.32,0.064,0.0655,0.053
5/29/2009,8500.33,8403.8,8300.02,8473.49,0.06,0.064,0.0655
6/1/2009,8721.44,8500.33,8403.8,8300.02,0.056,0.06,0.064
6/2/2009,8740.87,8721.44,8500.33,8403.8,0.056,0.056,0.06
6/3/2009,8675.24,8740.87,8721.44,8500.33,0.057,0.056,0.056
6/4/2009,8750.24,8675.24,8740.87,8721.44,0.055,0.057,0.056
6/5/2009,8763.13,8750.24,8675.24,8740.87,0.068,0.055,0.057
6/8/2009,8764.49,8763.13,8750.24,8675.24,0.06,0.068,0.055
6/9/2009,8763.06,8764.49,8763.13,8750.24,0.069,0.06,0.068
6/10/2009,8739.02,8763.06,8764.49,8763.13,0.066833333,0.069,0.06
6/11/2009,8770.92,8739.02,8763.06,8764.49,0.064666667,0.066833333,0.069
6/12/2009,8799.26,8770.92,8739.02,8763.06,0.0625,0.064666667,0.066833333
6/15/2009,8612.13,8799.26,8770.92,8739.02,0.060333333,0.0625,0.064666667
6/16/2009,8504.67,8612.13,8799.26,8770.92,0.058,0.060333333,0.0625
6/17/2009,8497.18,8504.67,8612.13,8799.26,0.061,0.058,0.060333333
6/18/2009,8555.6,8497.18,8504.67,8612.13,0.089,0.061,0.058
6/19/2009,8539.73,8555.6,8497.18,8504.67,0.092,0.089,0.061
6/22/2009,8339.01,8539.73,8555.6,8497.18,0.093,0.092,0.089
6/23/2009,8322.91,8339.01,8539.73,8555.6,0.095,0.093,0.092
6/24/2009,8299.86,8322.91,8339.01,8539.73,0.109,0.095,0.093
6/25/2009,8472.4,8299.86,8322.91,8339.01,0.123,0.109,0.095
6/26/2009,8438.39,8472.4,8299.91,8322.91,0.089,0.123,0.109
